date,open,close,high,low,amount,instrument_key,instrument_name,ma20,ma25,ma60,ma120,ma200
2005-01-04,996.28,989.98,996.28,982.99,494737.55,csi1000,中证1000,,,,,
2005-01-05,989.87,1013.58,1018.26,988.57,822661.44,csi1000,中证1000,,,,,
2005-01-06,1014.97,1005.47,1014.97,1001.21,732454.01,csi1000,中证1000,,,,,
2005-01-07,1005.52,1011.74,1021.71,1001.1,758240.02,csi1000,中证1000,,,,,
2005-01-10,1011.93,1023.64,1023.64,1007.8,596927.64,csi1000,中证1000,,,,,
2005-01-11,1024.04,1027.16,1027.16,1017.79,782625.85,csi1000,中证1000,,,,,
2005-01-12,1026.74,1024.92,1026.74,1014.77,762477.1,csi1000,中证1000,,,,,
2005-01-13,1024.13,1029.3,1030.49,1020.67,1021112.01,csi1000,中证1000,,,,,
2005-01-14,1028.99,1011.88,1034.59,1011.44,864133.52,csi1000,中证1000,,,,,
2005-01-17,1002.33,986.66,1002.33,984.38,921192.16,csi1000,中证1000,,,,,
2005-01-18,985.67,1008.11,1008.48,985.67,990504.23,csi1000,中证1000,,,,,
2005-01-19,1007.11,1002.46,1008.22,997.62,1162300.13,csi1000,中证1000,,,,,
2005-01-20,999.93,989.44,999.93,982.42,1108445.45,csi1000,中证1000,,,,,
2005-01-21,987.43,1006.25,1007.92,966.08,1660074.32,csi1000,中证1000,,,,,
2005-01-24,1028.01,1028.01,1029.0,1016.09,1778422.99,csi1000,中证1000,,,,,
2005-01-25,1023.1,1015.1,1023.1,1005.49,1290204.95,csi1000,中证1000,,,,,
2005-01-26,1014.25,1006.84,1015.13,1004.61,1205919.1,csi1000,中证1000,,,,,
2005-01-27,1005.89,989.41,1005.89,988.12,1151757.26,csi1000,中证1000,,,,,
2005-01-28,989.41,963.01,989.41,960.24,1073928.0,csi1000,中证1000,,,,,
2005-01-31,954.94,924.17,954.94,923.13,1143886.61,csi1000,中证1000,1002.8565000000001,,,,
2005-02-01,917.3,905.8,929.22,905.21,1107525.14,csi1000,中证1000,998.6475,,,,
2005-02-02,904.13,958.39,959.99,904.13,1528858.65,csi1000,中证1000,995.8879999999999,,,,
2005-02-03,956.73,936.86,962.26,936.51,1386026.79,csi1000,中证1000,992.4575000000001,,,,
