timestamp,open,high,low,close,volume
2024-09-12 08:00:00,2513.22,2560.15,2511.08,2558.64,177954
2024-09-13 08:00:00,2558.32,2586.09,2556.75,2579.45,182340
2024-09-16 08:00:00,2578.74,2589.68,2575.3,2582.42,148552
2024-09-17 08:00:00,2582.7,2586.95,2560.68,2569.47,163135
2024-09-18 08:00:00,2570.24,2600.18,2546.87,2559.29,195744
2024-09-19 08:00:00,2558.62,2594.9,2551.07,2586.78,211028
2024-09-20 08:00:00,2586.38,2625.76,2584.83,2622.17,195055
2024-09-23 08:00:00,2620.74,2634.89,2613.85,2628.42,181125
2024-09-24 08:00:00,2627.56,2664.39,2622.65,2657.15,215697
2024-09-25 08:00:00,2658.54,2670.54,2649.85,2657.02,199536
2024-09-26 08:00:00,2658.15,2685.59,2654.83,2672.23,214963
2024-09-27 08:00:00,2672.08,2674.32,2643.18,2658.88,217897
2024-09-30 08:00:00,2661.64,2666.03,2624.73,2634.66,209795
2024-10-01 08:00:00,2633.74,2673.11,2633.22,2663.38,190035
2024-10-02 08:00:00,2661.62,2663.4,2641.15,2658.63,177922
2024-10-03 08:00:00,2658.88,2662.96,2637.72,2655.99,188280
2024-10-04 08:00:00,2655.91,2670.16,2632.03,2652.84,188887
2024-10-07 08:00:00,2651.47,2659.64,2637.78,2642.67,184732
2024-10-08 08:00:00,2641.96,2653.06,2604.79,2621.91,239757
2024-10-09 08:00:00,2621.96,2624.31,2605.2,2607.74,193957
2024-10-10 08:00:00,2607.44,2631.51,2602.64,2630.1,200550
2024-10-11 08:00:00,2628.48,2661.44,2628.11,2657.15,178862
2024-10-14 08:00:00,2649.9,2666.82,2643.2,2648.61,168468
2024-10-15 08:00:00,2649.1,2668.92,2638.14,2662.72,191151
2024-10-16 08:00:00,2662.3,2685.33,2658.78,2673.78,182976
2024-10-17 08:00:00,2674.51,2696.75,2673.17,2692.85,198399
2024-10-18 08:00:00,2693.13,2722.57,2692.29,2722.14,204445
2024-10-21 08:00:00,2722.98,2740.55,2714.2,2719.53,221829
2024-10-22 08:00:00,2719.24,2748.88,2719.04,2748.88,196851
2024-10-23 08:00:00,2747.32,2758.42,2708.75,2715.62,212202
2024-10-24 08:00:00,2716.48,2743.25,2716.18,2735.95,198444
2024-10-25 08:00:00,2735.83,2747.7,2717.02,2746.56,187575
2024-10-28 08:00:00,2733.26,2745.96,2724.74,2742.28,187591
2024-10-29 08:00:00,2741.34,2774.79,2739.93,2774.48,200624
2024-10-30 08:00:00,2773.52,2789.99,2770.96,2787.39,195873
2024-10-31 08:00:00,2786.98,2790.11,2731.56,2743.85,202909
2024-11-01 08:00:00,2745.34,2762.22,2733.17,2735.18,203100
2024-11-04 08:00:00,2732.22,2748.19,2731.81,2736.6,196927
2024-11-05 08:00:00,2737.26,2750.0,2724.72,2743.84,186285
2024-11-06 08:00:00,2743.1,2749.72,2652.46,2658.97,314796
2024-11-07 08:00:00,2662.04,2710.23,2643.43,2706.37,243306
2024-11-08 08:00:00,2704.49,2710.42,2680.34,2684.51,217506
2024-11-11 08:00:00,2683.44,2686.18,2610.64,2619.41,214411
2024-11-12 08:00:00,2621.17,2627.18,2589.67,2598.1,237262
2024-11-13 08:00:00,2598.01,2618.87,2572.65,2572.83,222933
2024-11-14 08:00:00,2574.06,2581.32,2536.86,2564.65,256618
2024-11-15 08:00:00,2566.46,2576.06,2554.52,2561.66,224443
2024-11-18 08:00:00,2567.65,2615.12,2567.65,2611.78,214908
2024-11-19 08:00:00,2610.57,2639.47,2610.33,2632.2,215988
2024-11-20 08:00:00,2632.28,2655.43,2618.87,2650.0,198383
2024-11-21 08:00:00,2649.6,2673.52,2648.9,2669.46,202528
2024-11-22 08:00:00,2669.55,2715.29,2668.15,2714.57,230296
2024-11-25 08:00:00,2710.84,2721.39,2615.65,2625.54,261782
2024-11-26 08:00:00,2627.4,2641.99,2605.18,2633.05,222743
2024-11-27 08:00:00,2631.24,2658.27,2627.09,2635.91,198722
2024-11-28 08:00:00,2637.75,2649.67,2620.97,2637.86,137235
2024-11-29 08:00:00,2638.94,2666.39,2634.03,2650.4,190714
2024-12-02 08:00:00,2649.12,2651.82,2621.91,2638.74,239286
2024-12-03 08:00:00,2638.94,2655.61,2634.12,2643.6,205787
2024-12-04 08:00:00,2642.46,2657.16,2632.43,2649.79,192438
2024-12-05 08:00:00,2649.2,2655.52,2623.54,2631.88,212500
2024-12-06 08:00:00,2631.93,2645.68,2612.81,2633.15,245835
2024-12-09 08:00:00,2642.99,2676.42,2627.57,2660.18,254016
2024-12-10 08:00:00,2660.83,2695.59,2657.98,2693.95,215251
2024-12-11 08:00:00,2695.12,2721.21,2675.63,2717.77,288312
2024-12-12 08:00:00,2717.64,2726.19,2675.15,2680.6,255558
2024-12-13 08:00:00,2680.57,2692.8,2646.16,2648.73,245724
