source_name,target_name,ma_window,rate_3,n_3,rate_5,n_5,rate_10,n_10,denominator,same_day_rate,avg_lag_10,median_lag_10,rate_20,n_20
上证50,上证指数,20,0.539568345323741,139,0.5899280575539568,139,0.6376811594202898,138,138,0.4057971014492754,1.2840909090909092,0.0,0.7101449275362319,138
上证50,上证指数,25,0.5203252032520326,123,0.5609756097560976,123,0.6065573770491803,122,122,0.3442622950819672,1.364864864864865,0.0,0.6885245901639344,122
上证50,中证1000,20,0.2949640287769784,139,0.3237410071942446,139,0.4492753623188406,138,138,0.10869565217391304,3.1451612903225805,2.0,0.6014492753623188,138
上证50,中证1000,25,0.2601626016260163,123,0.3008130081300813,123,0.4180327868852459,122,122,0.07377049180327869,3.4313725490196076,3.0,0.5491803278688525,122
上证50,中证红利,20,0.4028776978417266,139,0.4892086330935252,139,0.5652173913043478,138,138,0.2463768115942029,2.1153846153846154,1.0,0.6811594202898551,138
上证50,中证红利,25,0.4146341463414634,123,0.45528455284552843,123,0.5491803278688525,122,122,0.23770491803278687,2.1791044776119404,1.0,0.6721311475409836,122
上证50,创业板指,20,0.22935779816513763,109,0.29357798165137616,109,0.3888888888888889,108,108,0.1111111111111111,3.119047619047619,2.5,0.5185185185185185,108
上证50,创业板指,25,0.20833333333333334,96,0.2604166666666667,96,0.3473684210526316,95,95,0.12631578947368421,3.121212121212121,2.0,0.5157894736842106,95
上证50,沪深300,20,0.5611510791366906,139,0.5899280575539568,139,0.6521739130434783,138,138,0.4420289855072464,1.0888888888888888,0.0,0.7101449275362319,138
上证50,沪深300,25,0.4959349593495935,123,0.5365853658536586,123,0.5983606557377049,122,122,0.319672131147541,1.4657534246575343,0.0,0.6885245901639344,122
上证50,科创50,20,0.13043478260869565,46,0.17391304347826086,46,0.28888888888888886,45,45,0.08888888888888889,4.230769230769231,4.0,0.5111111111111111,45
上证50,科创50,25,0.17073170731707318,41,0.21951219512195122,41,0.275,40,40,0.15,2.272727272727273,0.0,0.4,40
上证指数,上证50,20,0.5846153846153846,130,0.6076923076923076,130,0.6692307692307692,130,130,0.4307692307692308,1.2183908045977012,0.0,0.7076923076923077,130
上证指数,上证50,25,0.46551724137931033,116,0.5086206896551724,116,0.5603448275862069,116,116,0.3620689655172414,1.3692307692307693,0.0,0.6120689655172413,116
上证指数,中证1000,20,0.5153846153846153,130,0.5384615384615384,130,0.5923076923076923,130,130,0.26153846153846155,1.5974025974025974,1.0,0.6846153846153846,130
上证指数,中证1000,25,0.4051724137931034,116,0.4224137931034483,116,0.5344827586206896,116,116,0.20689655172413793,2.4516129032258065,1.0,0.646551724137931,116
上证指数,中证红利,20,0.5615384615384615,130,0.6,130,0.6846153846153846,130,130,0.4230769230769231,1.5056179775280898,0.0,0.7615384615384615,130
上证指数,中证红利,25,0.5172413793103449,116,0.5258620689655172,116,0.6206896551724138,116,116,0.4224137931034483,1.4305555555555556,0.0,0.6982758620689655,116
上证指数,创业板指,20,0.38613861386138615,101,0.44554455445544555,101,0.504950495049505,101,101,0.2871287128712871,1.8235294117647058,0.0,0.5841584158415841,101
上证指数,创业板指,25,0.25274725274725274,91,0.2857142857142857,91,0.3626373626373626,91,91,0.17582417582417584,2.4545454545454546,1.0,0.4725274725274725,91
上证指数,沪深300,20,0.6692307692307692,130,0.6846153846153846,130,0.7076923076923077,130,130,0.5769230769230769,0.5217391304347826,0.0,0.7538461538461538,130
上证指数,沪深300,25,0.6293103448275862,116,0.6379310344827587,116,0.6551724137931034,116,116,0.4827586206896552,0.5526315789473685,0.0,0.7068965517241379,116
上证指数,科创50,20,0.2,40,0.25,40,0.275,40,40,0.15,1.9090909090909092,0.0,0.425,40
上证指数,科创50,25,0.16216216216216217,37,0.1891891891891892,37,0.21621621621621623,37,37,0.13513513513513514,1.625,0.0,0.3783783783783784,37
中证1000,上证50,20,0.21374045801526717,131,0.24427480916030533,131,0.32061068702290074,131,131,0.11450381679389313,3.0952380952380953,2.0,0.48091603053435117,131
中证1000,上证50,25,0.18518518518518517,108,0.23148148148148148,108,0.28703703703703703,108,108,0.08333333333333333,2.806451612903226,2.0,0.4351851851851852,108
中证1000,上证指数,20,0.3282442748091603,131,0.35877862595419846,131,0.4122137404580153,131,131,0.2595419847328244,1.6851851851851851,0.0,0.5267175572519084,131
中证1000,上证指数,25,0.37962962962962965,108,0.3888888888888889,108,0.4722222222222222,108,108,0.2222222222222222,2.1176470588235294,1.0,0.5648148148148148,108
中证1000,中证红利,20,0.25190839694656486,131,0.29770992366412213,131,0.3816793893129771,131,131,0.16030534351145037,2.72,1.0,0.5267175572519084,131
中证1000,中证红利,25,0.2962962962962963,108,0.32407407407407407,108,0.4351851851851852,108,108,0.21296296296296297,2.702127659574468,1.0,0.5648148148148148,108
