d1_idx,d1_date,year,reached_day2,true_breakdown,index_key,index_name,ma_window
3450,2018-03-16,2018,False,False,sse,上证指数,20
3453,2018-03-21,2018,True,True,sse,上证指数,20
3496,2018-05-25,2018,True,True,sse,上证指数,20
3543,2018-08-01,2018,True,True,sse,上证指数,20
3564,2018-08-30,2018,True,True,sse,上证指数,20
3585,2018-10-08,2018,True,False,sse,上证指数,20
3588,2018-10-11,2018,True,True,sse,上证指数,20
3619,2018-11-23,2018,True,True,sse,上证指数,20
3628,2018-12-06,2018,True,True,sse,上证指数,20
3699,2019-03-26,2019,True,True,sse,上证指数,20
3720,2019-04-25,2019,True,True,sse,上证指数,20
3752,2019-06-14,2019,False,False,sse,上证指数,20
3768,2019-07-08,2019,True,True,sse,上证指数,20
3824,2019-09-25,2019,True,True,sse,上证指数,20
3836,2019-10-18,2019,True,True,sse,上证指数,20
3844,2019-10-30,2019,True,False,sse,上证指数,20
3852,2019-11-11,2019,True,True,sse,上证指数,20
3902,2020-01-21,2020,True,True,sse,上证指数,20
3924,2020-02-28,2020,False,False,sse,上证指数,20
3930,2020-03-09,2020,False,False,sse,上证指数,20
3932,2020-03-11,2020,True,True,sse,上证指数,20
3980,2020-05-22,2020,True,True,sse,上证指数,20
3996,2020-06-15,2020,False,False,sse,上证指数,20
4023,2020-07-24,2020,True,True,sse,上证指数,20
4046,2020-08-26,2020,True,False,sse,上证指数,20
4053,2020-09-04,2020,True,True,sse,上证指数,20
4082,2020-10-23,2020,True,True,sse,上证指数,20
4115,2020-12-09,2020,True,True,sse,上证指数,20
4150,2021-01-28,2021,True,True,sse,上证指数,20
4164,2021-02-24,2021,False,False,sse,上证指数,20
4166,2021-02-26,2021,True,True,sse,上证指数,20
4196,2021-04-12,2021,True,True,sse,上证指数,20
4206,2021-04-26,2021,True,False,sse,上证指数,20
4210,2021-04-30,2021,True,True,sse,上证指数,20
4238,2021-06-15,2021,True,True,sse,上证指数,20
4283,2021-08-17,2021,False,False,sse,上证指数,20
